Player Name,Points Per Game,Assists Per Game,Rebounds Per Game,Blocks Per Game,Steals Per Game,True Shooting Percentage,All Star Player?
b'J.J. Redick',4.1,0.5,0.7,0,0.1,0.563186813,0
b'J.R. Smith',7.7,1.1,2,0.1,0.7,0.513881474,0
b'Jae Crowder',4.6,0.8,2.5,0.3,0.8,0.553949904,0
b'Jake Voskuhl',5,0.3,4.2,0.4,0.2,0.610948192,0
b'Jamaal Magloire',8.5,0.4,5.6,1,0.3,0.624632569,1
b'Jamaal Tinsley',7.8,7.5,3.6,0.2,1.7,0.472154964,0
b'Jameer Nelson',14.6,4.9,2.9,0.1,1.1,0.566946257,1
b'James Harden',12.2,2.1,3.1,0.3,1.1,0.601103666,1
b'James Johnson',7.1,2.3,3.7,1,0.9,0.504548039,0
b'James Jones',4.9,0.8,2.3,0.4,0.4,0.538224956,0
b'James Posey',8.1,2,5.3,0.5,1.1,0.509562154,0
b'Jannero Pargo',6.7,2.3,1.2,0.2,0.4,0.492937022,0
b'Jared Dudley',5.5,0.8,3,0.1,0.8,0.565843621,0
b'Jared Jeffries',5.7,1.1,5.2,0.3,0.6,0.430253623,0
b'Jarrett Jack',12,5.3,2.6,0.1,1.1,0.574712644,0
b'Jason Collins',5.7,1.1,4.5,0.5,0.6,0.520452885,0
b'Jason Kapono',8.5,0.8,2,0.1,0.5,0.486270023,0
b'Jason Maxiell',5,0.2,2.8,0.9,0.4,0.523012552,0
b'Jason Richardson',15.6,3,4.6,0.3,1.1,0.49833887,0
b'Jason Terry',19.7,4.9,3.3,0.1,1.3,0.528546898,0
b'Jason Thompson',12.5,1.7,8.5,1,0.5,0.515336412,0
b'Jason Williams',12.3,7.3,2.8,0.1,1.4,0.475858867,0
b'JaVale McGee',6.4,0.2,4.1,1.7,0.3,0.539083558,0
b'Jeff Foster',3.5,0.5,5.5,0.4,0.5,0.489921613,0
b'Jeff Green',16.5,2,6.7,0.4,1,0.535158277,0
b'Jeff Teague',5.2,2,1.5,0.4,0.6,0.528885273,1
b'Jelani McCoy',4.3,0.4,3.1,0.8,0.3,0.565194532,0
b'Jeremy Lamb',8.5,1.5,2.4,0.3,0.7,0.521344455,0
b'Jeremy Lin',14.6,6.2,3.1,0.3,1.6,0.553533515,0
b'Jeremy Pargo',6.8,2.4,1.3,0.1,0.3,0.478603604,0
b'Jerryd Bayless',8.5,2.3,1.6,0.1,0.4,0.53445674,0
b'Jimmer Fredette',7.2,1.3,1,0,0.4,0.552486188,0
b'Jimmy Butler',8.6,1.4,4,0.4,1,0.578579117,1
b'Joakim Noah',6.7,1.3,7.6,1.4,0.6,0.586484594,1
b'Jodie Meeks',4.1,0.5,1.8,0.1,0.3,0.453539823,0
b'Joe Johnson',6.3,1.5,2.9,0.2,0.7,0.490654206,1
b'Joel Anthony',2.2,0.4,3,1.4,0.3,0.521821632,0
b'Joel Przybilla',2.7,0.3,4,1.7,0.3,0.524883359,0
b'Johan Petro',6.2,0.6,4.1,0.6,0.5,0.530821918,0
b'John Henson',11.1,1.6,7.1,1.7,0.6,0.544117647,0
b'John Lucas III',3.3,0.7,0.8,0,0.4,0.474683544,0
b'John Salmons',5.8,1.7,2.5,0.2,0.8,0.489203779,0
b'John Thomas',3.3,0.4,2.1,0.3,0.6,0.580985915,0
b'John Wall',16.3,8,4.5,0.9,1.4,0.503583786,1
b'Jonas Valan\xc4\x8di\xc5\xabnas',11.3,0.7,8.8,0.9,0.3,0.581994232,0
b'Jonathan Bender',3.3,0.5,1.3,0.5,0.1,0.442596567,0
b'Jordan Farmar',9.1,2.7,2.2,0.1,0.9,0.558968059,0
b'Jos\xc3\xa9 Calder\xc3\xb3n',8.7,5,1.7,0.1,0.8,0.584991931,0
b'Josh Childress',10,1.8,5.2,0.5,1.2,0.625938908,0
b'Josh Davis',2.8,0.3,1.9,0.1,0.2,0.504322767,0
b'Josh Howard',12.6,1.4,6.4,0.6,1.5,0.535532132,1
b'Josh McRoberts',2.4,0.5,2.2,0.5,0.4,0.448430493,0
b'Josh Powell',3.1,0.6,2.4,0.3,0.1,0.519436997,0
b'Josh Smith',11.3,2.4,6.6,2.6,0.8,0.498764124,0
b'Jrue Holiday',14,6.5,4,0.4,1.5,0.526315789,1
b'Jumaine Jones',4.7,0.5,2.9,0.2,0.5,0.516256591,0
b'Justin Holiday',4.3,0.8,1.2,0.2,0.7,0.494025735,0
b'Kareem Rush',6.4,0.8,1.3,0.3,0.5,0.507292327,0
b'Kawhi Leonard',11.9,1.6,6,0.6,1.7,0.590981327,1
b'Keith Bogans',9.6,1.8,3.1,0.1,0.9,0.461538462,0
b'Keith Van Horn',21.8,1.5,8.5,1.3,1,0.518455099,0
b'Kelvin Cato',3.5,0.4,3.5,1.3,0.5,0.472462203,0
b'Kemba Walker',17.7,5.7,3.5,0.4,2,0.515133877,1
b'Kendrick Perkins',2.5,0.4,2.9,0.6,0.2,0.512295082,0
b'Kenneth Faried',11.5,1,9.2,1,1,0.572025468,0
b'Kenny Thomas',7.1,1,5.6,0.6,0.5,0.50368899,0
b'Kent Bazemore',6,1.4,1.7,0.2,0.6,0.516884907,0
b'Kenyon Martin',14.9,2.6,5.3,1.7,1.2,0.502427839,1
b'Kevin Durant',25.3,2.8,6.5,0.7,1.3,0.576993249,1
b'Kevin Love',14,2.3,11,0.4,0.7,0.545851528,1
b'Kevin Martin',10.8,1.3,3.6,0.1,0.8,0.602409639,0
b'Khris Middleton',12.1,2.1,3.8,0.2,1,0.542698242,1
b'Kirk Hinrich',15.7,6.4,3.9,0.3,1.6,0.495831228,0
b'Klay Thompson',16.6,2.2,3.7,0.5,1,0.534243048,1
b'Kosta Koufos',1.5,0.2,1.3,0.1,0.1,0.508130081,0
b'Kris Humphries',3,0.5,2.5,0.3,0.4,0.401069519,0
b'Kwame Brown',7.4,0.7,5.3,1,0.6,0.494123932,0
b'Kyle Korver',11.5,2.2,4.6,0.4,1.3,0.585063085,1
b'Kyle Lowry',9.6,3.6,3,0.3,1.1,0.530503979,1
b'Kyrie Irving',22.5,5.9,3.7,0.4,1.5,0.555390995,1
b'Lamar Odom',17.2,5.2,7.8,1.6,1,0.536025929,0
b'LaMarcus Aldridge',17.8,1.6,7.6,1.2,0.7,0.523037142,1
